TITLE = "Blade_9505.0_pitch_28.0_AoA_5.0"
VARIABLES = "R_middle" "X_mean" "Y_mean" "Z_mean" "Tx_fR" "Ty_fR" "Tz_fR" "Ft_fR" "Fr_fR" "F1P_fR" "Mx_fR" "My_fR" "Mz_fR" 
ZONE T="Blade_9505.0_pitch_28.0_AoA_5.0", I=45, J=1, K=1, F=BLOCK
  7.141427417e-01  7.158404873e-01  7.155628843e-01  7.106433027e-01  7.015646097e-01  6.846235037e-01
  6.704888016e-01  6.518475402e-01  6.289294505e-01  6.023046023e-01  5.678671789e-01  5.356809770e-01
  5.033124878e-01  4.696465068e-01  4.363824035e-01  4.026515454e-01  3.765403708e-01  3.586519906e-01
  3.492231774e-01  3.495355101e-01  3.601272603e-01  3.754544214e-01  5.391208550e+00  0.000000000e+00
  0.000000000e+00  0.000000000e+00  0.000000000e+00
 -1.477318214e-03 -2.778311749e-03 -1.130940781e-03  1.702246033e-03  5.141462113e-03  1.016671181e-02
  1.535883056e-02  1.939293117e-02  2.217491388e-02  2.300589667e-02  2.111358308e-02  1.999991419e-02
  2.296170002e-02  2.690319247e-02  3.029565874e-02  3.284787810e-02  3.528986119e-02  3.639321275e-02
  3.729862083e-02  3.774016669e-02  3.788939655e-02  3.776568918e-02  3.745393289e-02  3.701392821e-02
  3.622410734e-02  3.514636722e-02  3.381146114e-02  3.225142569e-02  3.056071766e-02  2.861355067e-02
  2.646853042e-02  2.416632121e-02  2.172477487e-02  1.915269142e-02  1.652162440e-02  1.386317577e-02
  1.120472861e-02  8.632749312e-03  6.080212329e-03  3.771583380e-03  8.169053813e-03  0.000000000e+00
  0.000000000e+00  0.000000000e+00  0.000000000e+00
 -1.708814297e-02 -2.645397419e-02 -2.679631043e-02 -2.053254005e-02 -7.805608125e-03  8.955798015e-03
  2.356003342e-02  3.911569383e-02  4.978409202e-02  5.220546046e-02  4.359136755e-02  3.415917877e-02
  4.123089264e-02  5.473987991e-02  6.841036631e-02  8.068044847e-02  9.457876015e-02  1.052228708e-01
  1.153268030e-01  1.250307999e-01  1.342281661e-01  1.430097693e-01  1.513813764e-01  1.586444987e-01
  1.657387042e-01  1.716102224e-01  1.760749776e-01  1.789678186e-01  1.794022272e-01  1.785856218e-01
  1.759673591e-01  1.710057726e-01  1.635023408e-01  1.522068879e-01  1.390389099e-01  1.242368903e-01
  1.067278712e-01  8.766831014e-02  6.571533754e-02  4.589322326e-02  1.282859580e-01  0.000000000e+00
  0.000000000e+00  0.000000000e+00  0.000000000e+00
  2.810495987e-03  4.162908414e-03  6.507189695e-03  9.461608834e-03  1.192542647e-02  1.520503554e-02
  2.087099397e-02  2.486848014e-02  2.923475613e-02  3.414374037e-02  3.940662930e-02  4.527769472e-02
  5.088392026e-02  5.575122153e-02  6.044741233e-02  6.505041507e-02  6.906140996e-02  7.312883525e-02
  7.770575704e-02  8.192446130e-02  8.548843008e-02  8.844664873e-02  9.074978480e-02  9.184448983e-02
  9.309176588e-02  9.345840629e-02  9.290985247e-02  9.144774398e-02  8.830516656e-02  8.500136896e-02
  8.107953153e-02  7.625744284e-02  7.056430444e-02  6.330832754e-02  5.586874175e-02  4.840826842e-02
  4.038674777e-02  3.224094092e-02  2.324582492e-02  1.533765639e-02  6.063819615e-03  0.000000000e+00
  0.000000000e+00  0.000000000e+00  0.000000000e+00
